file,opt,cgates_average,cgates_stdev,depth_average,depth_stdev,amounts
benchmark_files__rand_0.qasm,0001,337.1,6.441273166075166,369.1,21.468348795377814,10
benchmark_files__rand_0.qasm,0010,341.0,8.0,353.5,17.59119097730452,10
benchmark_files__rand_0.qasm,0011,330.0,2.280350850198276,352.5,23.234672366960545,10
benchmark_files__rand_0.qasm,0100,344.3,5.1,347.1,13.960300856356929,10
benchmark_files__rand_0.qasm,0101,336.0,3.1622776601683795,347.5,17.517134468856487,10
benchmark_files__rand_0.qasm,0110,342.8,8.738420909981391,342.9,17.506855799943065,10
benchmark_files__rand_0.qasm,0111,330.2,9.314504817756015,319.5,43.70411879903312,10
benchmark_files__rand_0.qasm,1000,314.6,2.65329983228432,392.0,3.1937438845342623,10
benchmark_files__rand_0.qasm,1001,304.3,12.474373731775074,372.3,34.891402952589914,10
benchmark_files__rand_0.qasm,1010,313.1,3.014962686336267,370.5,26.21545345783666,10
benchmark_files__rand_0.qasm,1011,303.6,8.674099376880575,363.3,24.70647688360281,10
benchmark_files__rand_0.qasm,1100,315.8,0.9797958971132712,364.0,8.012490249604053,10
benchmark_files__rand_0.qasm,1101,309.8,3.7894590642992827,363.2,7.08237248385031,10
benchmark_files__rand_0.qasm,1110,312.2,2.85657137141714,363.2,3.280243893371345,10
benchmark_files__rand_0.qasm,1111,306.7,11.576268828944842,351.6,30.59150208799823,10
benchmark_files__rand_1.qasm,0001,32.4,2.0099751242241783,53.5,2.8372521918222215,10
benchmark_files__rand_1.qasm,0010,43.2,1.8330302779823358,57.6,3.0397368307141326,10
benchmark_files__rand_1.qasm,0011,30.7,1.5524174696260025,46.3,2.6095976701399777,10
benchmark_files__rand_1.qasm,0100,43.1,1.374772708486752,57.5,3.0740852297878796,10
benchmark_files__rand_1.qasm,0101,31.5,1.746424919657298,43.3,4.838388161361178,10
benchmark_files__rand_1.qasm,0110,44.0,1.3416407864998738,56.8,2.4,10
benchmark_files__rand_1.qasm,0111,28.1,1.7,40.8,2.785677655436824,10
benchmark_files__rand_1.qasm,1000,37.6,0.9165151389911681,59.8,3.6,10
benchmark_files__rand_1.qasm,1001,23.7,3.257299494980466,51.7,6.132699242584786,10
benchmark_files__rand_1.qasm,1010,37.2,0.9797958971132712,57.0,4.381780460041329,10
benchmark_files__rand_1.qasm,1011,25.8,0.9797958971132712,47.6,4.431703961232067,10
benchmark_files__rand_1.qasm,1100,38.2,1.4000000000000001,60.8,4.4,10
benchmark_files__rand_1.qasm,1101,26.2,2.7129319932501073,48.6,6.359245238233858,10
benchmark_files__rand_1.qasm,1110,37.6,1.2,55.0,4.381780460041329,10
benchmark_files__rand_1.qasm,1111,24.5,2.29128784747792,45.9,3.3000000000000003,10
benchmark_files__rand_10.qasm,0001,55.0,2.0976176963403033,66.2,12.990765951243983,10
benchmark_files__rand_10.qasm,0010,64.8,1.469693845669907,68.2,11.267652816802618,10
benchmark_files__rand_10.qasm,0011,54.2,1.4,58.9,9.353608929178085,10
benchmark_files__rand_10.qasm,0100,65.7,0.9,60.9,8.3,10
benchmark_files__rand_10.qasm,0101,46.9,1.57797338380595,52.7,10.854031509075325,10
benchmark_files__rand_10.qasm,0110,66.3,0.9,58.3,7.887331614684398,10
benchmark_files__rand_10.qasm,0111,46.0,1.9493588689617927,47.5,9.531526635329726,10
benchmark_files__rand_10.qasm,1000,58.6,2.0099751242241783,73.3,9.829038610159184,10
benchmark_files__rand_10.qasm,1001,50.8,2.1354156504062622,65.2,12.408061895396878,10
benchmark_files__rand_10.qasm,1010,58.8,1.661324772583615,69.5,9.952386648437649,10
benchmark_files__rand_10.qasm,1011,49.2,1.16619037896906,56.6,10.744300814850634,10
benchmark_files__rand_10.qasm,1100,59.0,2.0976176963403033,61.1,5.906775770248943,10
benchmark_files__rand_10.qasm,1101,49.2,2.56124969497314,63.0,9.077444574328174,10
benchmark_files__rand_10.qasm,1110,58.8,1.3266499161421599,57.6,2.973213749463701,10
benchmark_files__rand_10.qasm,1111,49.0,2.449489742783178,57.0,10.009995004993758,10
benchmark_files__rand_100.qasm,0001,354.4,6.2801273872430325,362.3,30.066759053812238,10
benchmark_files__rand_100.qasm,0010,361.6,7.812809993849844,336.4,14.582180906846546,10
benchmark_files__rand_100.qasm,0011,348.3,5.020956084253276,341.5,22.46886735018034,10
benchmark_files__rand_100.qasm,0100,366.9,5.028916384272063,335.1,28.115654002708172,10
